z,Q2,flavor,flavor_index,nrep,zH1perp1_mean,zH1perp1_std
0.2,4.0,u,1,50,0.5009973738831651,0.20302636296307872
0.2,4.0,ub,2,50,-0.6410271237614644,0.18972352552758798
0.2,4.0,d,3,50,-0.6410271237614644,0.18972352552758798
0.2,4.0,db,4,50,0.5009973738831651,0.20302636296307872
0.2,4.0,s,5,50,-0.6410271237614644,0.18972352552758798
0.2,4.0,sb,6,50,-0.6410271237614644,0.18972352552758798
0.2,4.0,c,7,50,0.0,0.0
0.2,4.0,cb,8,50,0.0,0.0
0.2,4.0,b,9,50,0.0,0.0
0.2,4.0,bb,10,50,0.0,0.0
0.20396984924623116,4.0,u,1,50,0.4963060258368651,0.1962338081374905
0.20396984924623116,4.0,ub,2,50,-0.6118545098646754,0.17930933029089172
0.20396984924623116,4.0,d,3,50,-0.6118545098646754,0.17930933029089172
0.20396984924623116,4.0,db,4,50,0.4963060258368651,0.1962338081374905
0.20396984924623116,4.0,s,5,50,-0.6118545098646754,0.17930933029089172
0.20396984924623116,4.0,sb,6,50,-0.6118545098646754,0.17930933029089172
0.20396984924623116,4.0,c,7,50,0.0,0.0
0.20396984924623116,4.0,cb,8,50,0.0,0.0
0.20396984924623116,4.0,b,9,50,0.0,0.0
0.20396984924623116,4.0,bb,10,50,0.0,0.0
0.20793969849246233,4.0,u,1,50,0.4911123596460373,0.18946911959403998
0.20793969849246233,4.0,ub,2,50,-0.5840750035270749,0.16956300728505175
0.20793969849246233,4.0,d,3,50,-0.5840750035270749,0.16956300728505175
0.20793969849246233,4.0,db,4,50,0.4911123596460373,0.18946911959403998
0.20793969849246233,4.0,s,5,50,-0.5840750035270749,0.16956300728505175
0.20793969849246233,4.0,sb,6,50,-0.5840750035270749,0.16956300728505175
0.20793969849246233,4.0,c,7,50,0.0,0.0
0.20793969849246233,4.0,cb,8,50,0.0,0.0
0.20793969849246233,4.0,b,9,50,0.0,0.0
0.20793969849246233,4.0,bb,10,50,0.0,0.0
0.21190954773869347,4.0,u,1,50,0.48544839729675365,0.18275380965780944
0.21190954773869347,4.0,ub,2,50,-0.5576587069647578,0.1604301981418101
0.21190954773869347,4.0,d,3,50,-0.5576587069647578,0.1604301981418101
0.21190954773869347,4.0,db,4,50,0.48544839729675365,0.18275380965780944
0.21190954773869347,4.0,s,5,50,-0.5576587069647578,0.1604301981418101
0.21190954773869347,4.0,sb,6,50,-0.5576587069647578,0.1604301981418101
0.21190954773869347,4.0,c,7,50,0.0,0.0
0.21190954773869347,4.0,cb,8,50,0.0,0.0
0.21190954773869347,4.0,b,9,50,0.0,0.0
0.21190954773869347,4.0,bb,10,50,0.0,0.0
0.21587939698492464,4.0,u,1,50,0.4793460705087436,0.17610775816033775
0.21587939698492464,4.0,ub,2,50,-0.5325718873256585,0.15186196963115295
0.21587939698492464,4.0,d,3,50,-0.5325718873256585,0.15186196963115295
0.21587939698492464,4.0,db,4,50,0.4793460705087436,0.17610775816033775
0.21587939698492464,4.0,s,5,50,-0.5325718873256585,0.15186196963115295
0.21587939698492464,4.0,sb,6,50,-0.5325718873256585,0.15186196963115295
0.21587939698492464,4.0,c,7,50,0.0,0.0
0.21587939698492464,4.0,cb,8,50,0.0,0.0
0.21587939698492464,4.0,b,9,50,0.0,0.0
0.21587939698492464,4.0,bb,10,50,0.0,0.0
0.2198492462311558,4.0,u,1,50,0.47283710427348985,0.16954922261078914
0.2198492462311558,4.0,ub,2,50,-0.5087776341452013,0.1438145284377146
0.2198492462311558,4.0,d,3,50,-0.5087776341452013,0.1438145284377146
0.2198492462311558,4.0,db,4,50,0.47283710427348985,0.16954922261078914
0.2198492462311558,4.0,s,5,50,-0.5087776341452013,0.1438145284377146
0.2198492462311558,4.0,sb,6,50,-0.5087776341452013,0.1438145284377146
0.2198492462311558,4.0,c,7,50,0.0,0.0
0.2198492462311558,4.0,cb,8,50,0.0,0.0
0.2198492462311558,4.0,b,9,50,0.0,0.0
0.2198492462311558,4.0,bb,10,50,0.0,0.0
0.22381909547738696,4.0,u,1,50,0.4659529098477787,0.1630948564229056
0.22381909547738696,4.0,ub,2,50,-0.4862364550622692,0.13624887664398774
0.22381909547738696,4.0,d,3,50,-0.4862364550622692,0.13624887664398774
0.22381909547738696,4.0,db,4,50,0.4659529098477787,0.1630948564229056
0.22381909547738696,4.0,s,5,50,-0.4862364550622692,0.13624887664398774
0.22381909547738696,4.0,sb,6,50,-0.4862364550622692,0.13624887664398774
0.22381909547738696,4.0,c,7,50,0.0,0.0
0.22381909547738696,4.0,cb,8,50,0.0,0.0
0.22381909547738696,4.0,b,9,50,0.0,0.0
0.22381909547738696,4.0,bb,10,50,0.0,0.0
0.2277889447236181,4.0,u,1,50,0.45872448686260797,0.15675973436251586
0.2277889447236181,4.0,ub,2,50,-0.46490681364747183,0.12913042723874868
0.2277889447236181,4.0,d,3,50,-0.46490681364747183,0.12913042723874868
0.2277889447236181,4.0,db,4,50,0.45872448686260797,0.15675973436251586
0.2277889447236181,4.0,s,5,50,-0.46490681364747183,0.12913042723874868
0.2277889447236181,4.0,sb,6,50,-0.46490681364747183,0.12913042723874868
0.2277889447236181,4.0,c,7,50,0.0,0.0
0.2277889447236181,4.0,cb,8,50,0.0,0.0
0.2277889447236181,4.0,b,9,50,0.0,0.0
0.2277889447236181,4.0,bb,10,50,0.0,0.0
0.23175879396984927,4.0,u,1,50,0.45118233420059034,0.1505573843945574
0.23175879396984927,4.0,ub,2,50,-0.4447456131254927,0.12242859664341933
0.23175879396984927,4.0,d,3,50,-0.4447456131254927,0.12242859664341933
0.23175879396984927,4.0,db,4,50,0.45118233420059034,0.1505573843945574
0.23175879396984927,4.0,s,5,50,-0.4447456131254927,0.12242859664341933
0.23175879396984927,4.0,sb,6,50,-0.4447456131254927,0.12242859664341933
0.23175879396984927,4.0,c,7,50,0.0,0.0
0.23175879396984927,4.0,cb,8,50,0.0,0.0
0.23175879396984927,4.0,b,9,50,0.0,0.0
0.23175879396984927,4.0,bb,10,50,0.0,0.0
0.23572864321608042,4.0,u,1,50,0.4433563692906067,0.14449982513014206
0.23572864321608042,4.0,ub,2,50,-0.4257086296781246,0.11611638864317111
0.23572864321608042,4.0,d,3,50,-0.4257086296781246,0.11611638864317111
0.23572864321608042,4.0,db,4,50,0.4433563692906067,0.14449982513014206
0.23572864321608042,4.0,s,5,50,-0.4257086296781246,0.11611638864317111
0.23572864321608042,4.0,sb,6,50,-0.4257086296781246,0.11611638864317111
0.23572864321608042,4.0,c,7,50,0.0,0.0
0.23572864321608042,4.0,cb,8,50,0.0,0.0
0.23572864321608042,4.0,b,9,50,0.0,0.0
0.23572864321608042,4.0,bb,10,50,0.0,0.0
0.23969849246231156,4.0,u,1,50,0.4352758554660327,0.138597608103251
0.23969849246231156,4.0,ub,2,50,-0.4077508988995854,0.11016998142886686
0.23969849246231156,4.0,d,3,50,-0.4077508988995854,0.11016998142886686
0.23969849246231156,4.0,db,4,50,0.4352758554660327,0.138597608103251
0.23969849246231156,4.0,s,5,50,-0.4077508988995854,0.11016998142886686
0.23969849246231156,4.0,sb,6,50,-0.4077508988995854,0.11016998142886686
0.23969849246231156,4.0,c,7,50,0.0,0.0
0.23969849246231156,4.0,cb,8,50,0.0,0.0
0.23969849246231156,4.0,b,9,50,0.0,0.0
0.23969849246231156,4.0,bb,10,50,0.0,0.0
0.24366834170854274,4.0,u,1,50,0.4269693370322601,0.13285986414377293
0.24366834170854274,4.0,ub,2,50,-0.3908270588457725,0.10456832687021293
0.24366834170854274,4.0,d,3,50,-0.3908270588457725,0.10456832687021293
0.24366834170854274,4.0,db,4,50,0.4269693370322601,0.13285986414377293
0.24366834170854274,4.0,s,5,50,-0.3908270588457725,0.10456832687021293
0.24366834170854274,4.0,sb,6,50,-0.3908270588457725,0.10456832687021293
