z,pT,z_pT,Q2,flavor,flavor_index,nrep,weighted_collins_mean,weighted_collins_std
0.3,0.0,0.0,4.0,fav,1,50,0.0,0.0
0.3,0.0,0.0,4.0,unf,3,50,0.0,0.0
0.3,0.005025125628140704,0.001507537688442211,4.0,fav,1,50,5.909886177457477e-06,5.303854352460549e-06
0.3,0.005025125628140704,0.001507537688442211,4.0,unf,3,50,-1.5437891899463472e-05,6.813657164356607e-06
0.3,0.010050251256281407,0.003015075376884422,4.0,fav,1,50,2.3637504649276236e-05,2.1212445006194752e-05
0.3,0.010050251256281407,0.003015075376884422,4.0,unf,3,50,-6.174341203840153e-05,2.724998912240506e-05
0.3,0.01507537688442211,0.004522613065326633,4.0,fav,1,50,5.3176736266805635e-05,4.77168567649829e-05
0.3,0.01507537688442211,0.004522613065326633,4.0,unf,3,50,-0.0001388920993250377,6.129508110840205e-05
0.3,0.020100502512562814,0.006030150753768844,4.0,fav,1,50,9.451738589160365e-05,8.480223768253086e-05
0.3,0.020100502512562814,0.006030150753768844,4.0,unf,3,50,-0.00024684320389013195,0.00010892575464001335
0.3,0.02512562814070352,0.007537688442211055,4.0,fav,1,50,0.00014764518755686334,0.0001324478091277324
0.3,0.02512562814070352,0.007537688442211055,4.0,unf,3,50,-0.00038553971499548573,0.00017010958669576624
0.3,0.03015075376884422,0.009045226130653266,4.0,fav,1,50,0.00021254181168833656,0.00019062687986435282
0.3,0.03015075376884422,0.009045226130653266,4.0,unf,3,50,-0.0005549084000717129,0.00024480493653669015
0.3,0.035175879396984924,0.010552763819095477,4.0,fav,1,50,0.0002891848743796887,0.0002593068641334635
0.3,0.035175879396984924,0.010552763819095477,4.0,unf,3,50,-0.000754859854851186,0.00033296098014539555
0.3,0.04020100502512563,0.012060301507537688,4.0,fav,1,50,0.00037754794871577526,0.00033844930372364346
0.3,0.04020100502512563,0.012060301507537688,4.0,unf,3,50,-0.0009852885645523905,0.00043451775224824155
0.3,0.04522613065326633,0.013567839195979899,4.0,fav,1,50,0.0004776005781359036,0.00042800989401066126
0.3,0.04522613065326633,0.013567839195979899,4.0,unf,3,50,-0.0012460729760622833,0.000549406195878709
0.3,0.05025125628140704,0.01507537688442211,4.0,fav,1,50,0.0005893082918277027,0.0005279385139450844
0.3,0.05025125628140704,0.01507537688442211,4.0,unf,3,50,-0.0015370755810536858,0.0006775482194325926
0.3,0.05527638190954774,0.016582914572864323,4.0,fav,1,50,0.0007126326221408262,0.0006381792599629731
0.3,0.05527638190954774,0.016582914572864323,4.0,unf,3,50,-0.0018581430099652285,0.0008188567611581768
0.3,0.06030150753768844,0.018090452261306532,4.0,fav,1,50,0.0008475311240082829,0.0007586704837916251
0.3,0.06030150753768844,0.018090452261306532,4.0,unf,3,50,-0.002209106136761948,0.0009732358610172055
0.3,0.06532663316582915,0.019597989949748745,4.0,fav,1,50,0.0009939573963618055,0.0008893448341190935
0.3,0.06532663316582915,0.019597989949748745,4.0,unf,3,50,-0.0025897801943852643,0.0011405807398451697
0.3,0.07035175879396985,0.021105527638190954,4.0,fav,1,50,0.0011518611055262803,0.001030129302093039
0.3,0.07035175879396985,0.021105527638190954,4.0,unf,3,50,-0.002999964900791873,0.0013207778857321929
0.3,0.07537688442211056,0.022613065326633167,4.0,fav,1,50,0.0013211880105768845,0.0011809452706113574
0.3,0.07537688442211056,0.022613065326633167,4.0,unf,3,50,-0.00343944459547191,0.0015137051475387039
0.3,0.08040201005025126,0.024120603015075376,4.0,fav,1,50,0.0015018799906412192,0.001341708567363877
0.3,0.08040201005025126,0.024120603015075376,4.0,unf,3,50,-0.0039079883863277235,0.0017192318354531165
0.3,0.08542713567839195,0.025628140703517585,4.0,fav,1,50,0.001693875074127404,0.00151232952158141
0.3,0.08542713567839195,0.025628140703517585,4.0,unf,3,50,-0.004405350306785747,0.0019372188284917373
0.3,0.09045226130653267,0.027135678391959798,4.0,fav,1,50,0.001897107469857731,0.0016927130244453856
0.3,0.09045226130653267,0.027135678391959798,4.0,unf,3,50,-0.0049312694830051405,0.0021675186888344194
0.3,0.09547738693467336,0.028643216080402007,4.0,fav,1,50,0.002111507600086225,0.001882758593108339
