z,pT,z_pT,Q2,flavor,flavor_index,nrep,unpolarized_ff_mean,unpolarized_ff_std
0.3,0.0,0.0,4.0,fav,1,50,3.6902596454745042,0.118449107400298
0.3,0.0,0.0,4.0,unf,3,50,1.6362465495807337,0.037846142108060296
0.3,0.005025125628140704,0.001507537688442211,4.0,fav,1,50,3.6901926373907914,0.11844482931707391
0.3,0.005025125628140704,0.001507537688442211,4.0,unf,3,50,1.6362211785978844,0.03784496672808245
0.3,0.010050251256281407,0.003015075376884422,4.0,fav,1,50,3.6899916204474317,0.11843199576552603
0.3,0.010050251256281407,0.003015075376884422,4.0,unf,3,50,1.6361450680109302,0.03784144075262919
0.3,0.01507537688442211,0.004522613065326633,4.0,fav,1,50,3.6896566165664297,0.11841060884008667
0.3,0.01507537688442211,0.004522613065326633,4.0,unf,3,50,1.6360182249042905,0.03783556467482516
0.3,0.020100502512562814,0.006030150753768844,4.0,fav,1,50,3.6891876622800224,0.11838067203096769
0.3,0.020100502512562814,0.006030150753768844,4.0,unf,3,50,1.635840661084107,0.037827339316523226
0.3,0.02512562814070352,0.007537688442211055,4.0,fav,1,50,3.6885848087240394,0.11834219022320042
0.3,0.02512562814070352,0.007537688442211055,4.0,unf,3,50,1.635612393076416,0.03781676582800182
0.3,0.03015075376884422,0.009045226130653266,4.0,fav,1,50,3.6878481216285994,0.11829516969546537
0.3,0.03015075376884422,0.009045226130653266,4.0,unf,3,50,1.6353334421245755,0.03780384568796203
0.3,0.035175879396984924,0.010552763819095477,4.0,fav,1,50,3.686977681306154,0.11823961811858774
0.3,0.035175879396984924,0.010552763819095477,4.0,unf,3,50,1.6350038341859787,0.037788580702854804
0.3,0.04020100502512563,0.012060301507537688,4.0,fav,1,50,3.6859735826368736,0.11817554455391067
0.3,0.04020100502512563,0.012060301507537688,4.0,unf,3,50,1.6346235999280174,0.037770973006835
0.3,0.04522613065326633,0.013567839195979899,4.0,fav,1,50,3.684835935051405,0.11810295945063065
0.3,0.04522613065326633,0.013567839195979899,4.0,unf,3,50,1.6341927747233291,0.037751025061143174
