z,Q2,flavor,flavor_index,nrep,zH1perp1_mean,zH1perp1_std
0.01,4.0,u,1,50,0.010398844618273444,0.02949426719005834
0.01,4.0,ub,2,50,-0.4107025704918362,0.6251595855627834
0.01,4.0,d,3,50,-0.4107025704918362,0.6251595855627834
0.01,4.0,db,4,50,0.010398844618273444,0.02949426719005834
0.01,4.0,s,5,50,-0.4107025704918362,0.6251595855627834
0.01,4.0,sb,6,50,-0.4107025704918362,0.6251595855627834
0.01,4.0,c,7,50,0.0,0.0
0.01,4.0,cb,8,50,0.0,0.0
0.01,4.0,b,9,50,0.0,0.0
0.01,4.0,bb,10,50,0.0,0.0
0.014924623115577889,4.0,u,1,50,0.019893997839237735,0.04623419240219313
0.014924623115577889,4.0,ub,2,50,-0.6276170916942267,0.8327648216453315
0.014924623115577889,4.0,d,3,50,-0.6276170916942267,0.8327648216453315
0.014924623115577889,4.0,db,4,50,0.019893997839237735,0.04623419240219313
0.014924623115577889,4.0,s,5,50,-0.6276170916942267,0.8327648216453315
0.014924623115577889,4.0,sb,6,50,-0.6276170916942267,0.8327648216453315
0.014924623115577889,4.0,c,7,50,0.0,0.0
0.014924623115577889,4.0,cb,8,50,0.0,0.0
0.014924623115577889,4.0,b,9,50,0.0,0.0
0.014924623115577889,4.0,bb,10,50,0.0,0.0
0.01984924623115578,4.0,u,1,50,0.03201726455995101,0.06399691784445032
0.01984924623115578,4.0,ub,2,50,-0.8366985640855663,1.0055479613118428
0.01984924623115578,4.0,d,3,50,-0.8366985640855663,1.0055479613118428
0.01984924623115578,4.0,db,4,50,0.03201726455995101,0.06399691784445032
0.01984924623115578,4.0,s,5,50,-0.8366985640855663,1.0055479613118428
0.01984924623115578,4.0,sb,6,50,-0.8366985640855663,1.0055479613118428
0.01984924623115578,4.0,c,7,50,0.0,0.0
0.01984924623115578,4.0,cb,8,50,0.0,0.0
0.01984924623115578,4.0,b,9,50,0.0,0.0
0.01984924623115578,4.0,bb,10,50,0.0,0.0
0.024773869346733667,4.0,u,1,50,0.04653797978347989,0.08248300071796623
0.024773869346733667,4.0,ub,2,50,-1.03074318227031,1.143259545299004
0.024773869346733667,4.0,d,3,50,-1.03074318227031,1.143259545299004
0.024773869346733667,4.0,db,4,50,0.04653797978347989,0.08248300071796623
0.024773869346733667,4.0,s,5,50,-1.03074318227031,1.143259545299004
0.024773869346733667,4.0,sb,6,50,-1.03074318227031,1.143259545299004
0.024773869346733667,4.0,c,7,50,0.0,0.0
0.024773869346733667,4.0,cb,8,50,0.0,0.0
0.024773869346733667,4.0,b,9,50,0.0,0.0
0.024773869346733667,4.0,bb,10,50,0.0,0.0
0.029698492462311557,4.0,u,1,50,0.06319413049488079,0.10137234614760762
0.029698492462311557,4.0,ub,2,50,-1.205677315512211,1.2477467513741893
0.029698492462311557,4.0,d,3,50,-1.205677315512211,1.2477467513741893
